"ID","NAME","LINK","TYPE","EXTRAS","DISCOVERED","ERROR"
"67083047f5951699062f8eb3","""Captain""","","person",null,false,""
"6706f3cb15c2b9798b2b0bd5","&nbsp;","","person",null,true,"LookupError"
"6706f50515c2b9798b2b0d46","'''Dave Weckl'''","Dave Weckl","person",{"image":"Dave Weckl Kongsberg Jazzfestival 2018 (171010).jpg","caption":"Weckl performing in 2018","birth_date":"{{birth date and age|1960|1|8}}","instrument":[{"name":"Drums"},{"name":"percussion"}],"years_active":"1981–present","website":"{{URL|daveweckl.com}}"},true,""
"67082d135f2a9b4b88ae075f","'''Feederz'''","The Feederz","group_or_band",{"background":"group_or_band","origin":"[[Arizona, United States]]","years_active":"1978-1987, 2002–2004, 2017–present","associated_acts":[{"link":"Dead Kennedys","name":"Dead Kennedys"},{"name":"Eddy Detroit"},{"name":"Victory Acres/Joke Flower"}],"website":"http://www.feederz.org/"},true,""
"67083251f5951699062f90f0","--''Joe Meek-era''--","","person",null,false,""
"6708324ef5951699062f90e7","--''Larry Page-era''--","","person",null,false,""
"67083253f5951699062f90f6","--''The cabaret act''--","","person",null,false,""
"67083224f5951699062f90a0","/>Glen Laughlin","","person",null,false,""
"67082c9a5f2a9b4b88ae06e2","10 Minute Warning","10 Minute Warning","group_or_band",{"image":"10 Minute Warning.gif","caption":"Promotional image of 10 Minute Warning. From left to right: Christopher Blue, [[Duff McKagan]], [[Greg Gilmore]], David Garrigues, Paul Solger","landscape":"yes","alias":[{"name":"Ten Minute Warning"}],"origin":"[[Seattle]], Washington, U.S.","years_active":"1982–1984, 1997–1998"},true,""
"67082d705f2a9b4b88ae07cc","12 Rounds","12 Rounds (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"6706f46f15c2b9798b2b0caa","21 Guns","21 Guns (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"6706f31c15c2b9798b2b0b17","22 Jacks","22 Jacks","group_or_band",{"origin":"[[California]], United States","years_active":"{{hlist|1995–2001|2007–present}}"},true,""
"6706f40815c2b9798b2b0c3b","325px","File:Snake River Conspiracy logo.jpg","person",null,true,"LookupError"
"6706f31615c2b9798b2b0b10","45 Grave","45 Grave","group_or_band",{"image":"Dinah Cancer 45 Grave Blue Cafe Long Beach 4.jpg","landscape":"yes","caption":"Dinah Cancer in 2007 with the reformed 45 Grave at Blue Cafe, Long Beach, CA","origin":"Los Angeles, California, U.S.","years_active":"1979–1985, 1988–1990, 2005–present"},true,""
"6706f1f715c2b9798b2b098f","60 Cycle","60 Cycle","group_or_band",null,true,"NoMusicalInfoboxException"
"6706f66515c2b9798b2b0efd","7D7D","","group_or_band",null,true,"LookupError"
"6708303df5951699062f8ea1","<strong>L.A. Guns</strong>","","person",null,false,""
"6708303ff5951699062f8ea7","<strong>Riley's L.A. Guns</strong>","","person",null,false,""
"6706f1f715c2b9798b2b0991","A Perfect Circle","A Perfect Circle","group_or_band",{"image":"A Perfect Circle Lollapalooza Chile 2013.jpg","landscape":"yes","caption":"A Perfect Circle performing at [[Lollapalooza Chile]] in 2013","origin":"[[Los Angeles]], [[California]], U.S.","years_active":"{{flatlist|\n* 1999–2004\n* 2010–present\n}}","website":"{{URL|aperfectcircle.com}}"},true,""
"670830b5f5951699062f8f29","A. J. Pero","A. J. Pero","person",null,false,""
"67082c7f5f2a9b4b88ae06d2","AC/DC","AC/DC","group_or_band",{"image":"AC DC Black Ice Tour 2009 Buenos Aires 4 de Diciembre (4238680962).jpg","landscape":"yes","alt":"Five men perform on stage: rhythm guitarist glancing left, drummer behind his kit, bass guitarist turned to his right, lead guitarist in school boy costume and lead singer hunched over microphone turned to his left.","caption":"AC/DC in [[Buenos Aires]] in 2009. From left to right: [[Malcolm Young]], [[Phil Rudd]], [[Cliff Williams]], [[Angus Young]] and [[Brian Johnson]].","origin":"[[Sydney]], Australia","discography":"{{flatlist|\n*[[AC/DC discography|Albums and singles]]\n*[[List of songs recorded by AC/DC|songs]]\n}}","years_active":"1973–present {{nowrap|(hiatus from 2016–2018)}}","website":"{{URL|acdc.com}}"},true,""
"6706f5d715c2b9798b2b0e66","Aaron Lee Tasjan","Aaron Lee Tasjan","person",{"image":"Aaron Lee Tasjan Saint 07082014 LHCollins.jpg","caption":"Aaron Lee Tasjan performing at [[The Saint (music venue)|The Saint]] in [[Asbury Park, New Jersey]], on July 8, 2014.","image_size":"250","birth_date":"{{birth date and age|1986|08|24}}","origin":"[[New Albany, Ohio]]","instrument":[{"name":"Vocals"},{"name":"guitar"}],"years_active":"2004–present","website":"{{URL|http://aaronleetasjan.com/}}"},true,""
"6706f29d15c2b9798b2b0a68","Aaron Sperkse","","person",null,true,"LookupError"
"67082c765f2a9b4b88ae06cd","Ace Frehley","Ace Frehley","person",{"image":"AceFrehley.jpg","caption":"Frehley performing in April 2011","birth_name":"Paul Daniel Frehley","alias":[{"name":"The Spaceman"},{"name":"Space Ace"},{"name":"Socks"}],"birth_date":"{{birth date and age|1951|4|27}}","birth_place":"New York City, U.S.","occupation":[{"name":"Musician"}],"instrument":[{"name":"Guitar"},{"name":"vocals"}],"years_active":"1964–present","website":"{{URL|acefrehley.com}}"},true,""
"6708303ff5951699062f8ea5","Ace Von Johnson","Ace Von Johnson","person",null,false,""
"6706f0ac90b652736e310747","Across the River","","group_or_band",null,true,"NoMusicalInfoboxException"
"6706f39415c2b9798b2b0b95","Adam Amparan","","person",null,true,"LookupError"
"670830cef5951699062f8f46","Adam Beach","","person",null,false,""
"67082d295f2a9b4b88ae0777","Adam Castle","","person",null,true,"LookupError"
"6706f69f15c2b9798b2b0f38","Adam Doll","","person",null,true,"RedirectException"
"67083222f5951699062f909a","Adam Gomez","","person",null,false,""
"6708303ef5951699062f8ea4","Adam Hamilton","Adam Hamilton (musician)","person",null,false,""
"67082d425f2a9b4b88ae078f","Adam Siegel","Adam Siegel","person",{"image":"Adam Siegel 1987.jpg","caption":"Adam Siegel on stage with Excel on tour in Netherlands in 1989","birth_date":"{{birth date and age |1969|3|9}}","origin":"[[Venice, California]], United States","alias":[{"name":"Torg"}],"occupation":[{"name":"Musician"},{"name":"singer-songwriter"},{"name":"actor"},{"name":"producer"},{"link":"graphic designer","name":"graphic designer"}],"instrument":[{"name":"Guitar"},{"name":"bass"}],"years_active":"1983–present","associated_acts":[{"link":"Excel (band)","name":"Excel"},{"name":"Dan Clements"},{"link":"Shaun Ross (musician)","name":"Shaun Ross"},{"link":"Greg Saenz","name":"Greg Saenz"},{"link":"Infectious Grooves","name":"Infectious Grooves"},{"link":"My Head","name":"My Head"},{"link":"Suicidal Tendencies","name":"Suicidal Tendencies"},{"link":"Cyco Miko","name":"Cyco Miko"},{"link":"Eels (band)","name":"Eels"},{"name":"The Blondes"},{"link":"Bodies of Water","name":"Bodies of Water"}]},true,""
"6706f69015c2b9798b2b0f23","Adam Stanger","Adam Stanger","person",{"instrument":[{"name":"Bass"}],"occupation":[{"name":"Musician"}],"years_active":"1990–present","associated_acts":[{"name":"Big Hate"},{"link":"Comes with the Fall","name":"Comes with the Fall"},{"link":"Jerry Cantrell","name":"Jerry Cantrell"},{"name":"Melt"},{"name":"The Young Royals"}]},true,""
"67083019f5951699062f8e72","Adler","Adler (band)","group_or_band",null,false,""
"6708301af5951699062f8e73","Adler's Appetite","Adler's Appetite","group_or_band",null,false,""
"6706f31715c2b9798b2b0b11","Adolescents","Adolescents (band)","group_or_band",null,true,"RedirectException"
"67082cbd5f2a9b4b88ae0710","Adrenaline Mob","Adrenaline Mob","group_or_band",{"image":"Adrenaline Mob 2011.jpg","caption":"Adrenaline Mob in 2011","image_upright":"1.25","origin":"New York City, U.S.","years_active":"2011–present {{small|(on hiatus since 2017)}}"},true,""
"6706f3fa15c2b9798b2b0c19","Adrian Burley","","person",null,true,"LookupError"
"670832843a9193be0699aa21","Adrian Gautrey","","person",null,false,""
